term,businessClassificationLevel1,definition,examples
pc-personal-lines,/,"P&C Personal Lines refers to the Property and Casualty insurance products offered to individual customers for their personal needs. This includes various types of insurance such as auto insurance, homeowners insurance, renters insurance, and other personal lines of insurance that provide coverage for individuals and their personal assets. AXA offers a range of P&C Personal Lines products to cater to the insurance needs of individual customers for their personal properties and liabilities.","Auto Insurance, Homeowners Insurance, Renters Insurance, Personal Liability Insurance."
pc-commercial-lines,/,"P&C Commercial Lines refers to the Property and Casualty insurance products designed for businesses and commercial entities. This includes various types of insurance such as commercial property insurance, liability insurance, business interruption insurance, and other forms of coverage tailored to the specific needs of businesses. AXA offers a range of P&C Commercial Lines products to address the insurance requirements of commercial clients and their business operations.","Commercial Property Insurance, General Liability Insurance, Commercial Auto Insurance: Coverage for company-owned vehicles and fleets against damages, accidents, and liabilities, Professional Liability Insurance."
health,/,"The ""Health"" activity of AXA encompasses products and services related to individual and group health, such as individual health insurance, group health insurance, hospitalization insurance, dental insurance, prevention and wellness services, as well as other solutions for the health and well-being of individuals and groups. AXA offers a comprehensive range of products and services in the field of health to meet the diverse needs of its customers for medical protection and care, both on an individual and group basis.","Health Insurance, Dental Insurance, Vision Insurance, Wellness Programs"
life-savings,/,"The ""Life & Savings"" activity of AXA includes products and services related to individual and group life insurance as well as long-term savings. This encompasses individual life insurance policies, retirement savings plans, investment-linked products, as well as group life insurance and pension solutions designed to help individuals, families, and organizations secure their financial future. AXA offers a variety of Life & Savings products to address the long-term protection and wealth accumulation needs of both individuals and groups.","Life Insurance, Annuities, Retirement Savings Plans, Investment-linked Insurance"
brand-corporate,/,"The Brand & Corporate advertising activity for AXA includes the AXA Brand identity promotion through various marketing and advertising campaigns.","The future should not be a risk campaign as an example"
asset-management,/,"The asset management activity involves the management and investment of financial assets on behalf of clients to generate returns and maximize the value of their investments. This includes portfolio management, security selection, financial analysis, risk management, and other services aimed at optimizing investment performance.","Mutual Funds, Exchange-Traded Funds (ETFs), Separately Managed Accounts (SMAs), Hedge Funds, Real Estate Investment Trusts (REITs)"
motor,pc-personal-lines,"In the context of P&C (Property and Casualty) personal lines, the motor activity refers to the insurance products and services related to motor vehicles, such as cars, motorcycles, and other private vehicles, designed to provide coverage for individuals.","In France, AXA offers motor insurance products such as ""Assurance Auto"" for cars and ""Assurance Moto"" for motorcycles. In Germany, motor insurance products include ""Kfz-Versicherung"" for cars and ""Motorradversicherung"" for motorcycles. In Spain, AXA provides ""Seguro de Coche"" for car insurance and ""Seguro de Moto"" for motorcycle insurance. In Japan, motor insurance products may include ""自動車保険"" (Jidōsha Hoken) for car insurance and ""バイク保険"" (Baiku Hoken) for motorcycle insurance."
property,pc-personal-lines,"In the context of personal lines, the property activity refers to insurance products and services related to residential properties, such as homes, apartments, and personal belongings, designed to provide coverage for individuals and their personal assets.","In France, AXA offers property insurance products such as ""Assurance Habitation"" for home insurance and ""Assurance Multirisque"" for comprehensive property insurance, providing coverage for damages, liability, and personal belongings. In Italy, property insurance products may include ""Assicurazione Casa"" for home insurance and ""Assicurazione Infortuni"" for personal accident insurance, offering coverage for residential properties and personal belongings in the Italian market. In the UK, AXA provides ""Home Insurance"" products tailored for residential properties, offering coverage for home buildings, contents, and personal belongings. In Thailand, property insurance products may include ""ประกันทรัพย์สินบุคคล"" (Prakan Thraph Sin Bukkhon) for personal property insurance, providing coverage for residential properties and personal assets in the Thai market."
liability,pc-personal-lines,"In the context of P&C personal lines, liability insurance provides coverage for individuals in case they are found legally responsible for causing injury or damage to others. This can include coverage for bodily injury, property damage, legal defense costs, and other related liabilities.","In Germany, liability insurance products may include ""Haftpflichtversicherung"" for personal liability coverage, offering protection for situations where the insured is liable for causing injury or damage to others."
other,pc-personal-lines,"In the context of P&C (Property and Casualty) personal lines insurance, ""Other"" typically refers to additional or miscellaneous coverage options that are not specifically categorized under traditional insurance products such as property, motor or liability insurance. These ""Other"" coverage options may include specialty insurance products tailored to specific personal needs, such as valuable items insurance (e.g., jewelry, art collections), personal umbrella liability insurance, pet insurance, or other unique coverage offerings that provide additional protection beyond standard personal insurance policies.","In France, examples of ""Other"" P&C personal lines insurance products may include ""Assurance Objets d'Art"" (Art Objects Insurance) for coverage of valuable art collections, ""Assurance Responsabilité Civile Vie Privée"" (Private Liability Insurance) for personal umbrella liability coverage, and ""Assurance Animaux Domestiques"" (Pet Insurance) for coverage of veterinary expenses and pet-related risks. In Switzerland, similar ""Other"" P&C personal lines insurance products may include ""Kunstversicherung"" (Art Insurance) for coverage of valuable art collections, ""Privathaftpflichtversicherung"" (Private Liability Insurance) for personal umbrella liability coverage, and ""Tierkrankenversicherung"" (Pet Insurance) for coverage of veterinary expenses and pet-related risks."
