data_source,agency,country,entity,field,target_field,start_date,end_date,rules_order,match_type,condition,results
CM360,OMD,ES,ESAXA,,entity,,,6,DEFAULT,,"""axa-es-seguros"""
GoogleAds,OMD,ES,ESAXA,,entity,,,15,DEFAULT,,"""axa-es-seguros"""
BingAds,OMD,ES,ESAXA,,entity,,,8,DEFAULT,,"""axa-es-seguros"""
Outbrain,Jakala,ES,ESALL,,entity,,,3,DEFAULT,,"""axa-es-seguros"""
GoogleAds,OMD,ES,ESAXA,,entity,,,13,DEFAULT,,"""axa-es-seguros"""
FacebookAds,OMD,ES,ESAXA,,entity,,,16,DEFAULT,,"""axa-es-seguros"""
CM360,Jakala,ES,ESALL,,entity,,,4,DEFAULT,,"""axa-es-seguros"""
BingAds,OMD,ES,ESAXA,,platform_or_publisher,,,1,DEFAULT,,"""bing"""
BingAds,OMD,ES,ESAXA,,mediapartner_saleshouse,,,1,DEFAULT,,"""bing"""
Outbrain,Jakala,ES,ESALL,,buying_type,,,11,DEFAULT,,"""cpc"""
GoogleAds,OMD,ES,ESAXA,,buying_type,,,1,DEFAULT,,"""cpc"""
GoogleAds,OMD,ES,ESAXA,,platform_or_publisher,,,3,DEFAULT,,"""google"""
GoogleAds,OMD,ES,ESAXA,,mediapartner_saleshouse,,,3,DEFAULT,,"""google"""
FacebookAds,OMD,ES,ESAXA,,platform_or_publisher,,,5,DEFAULT,,"""meta"""
FacebookAds,OMD,ES,ESAXA,,mediapartner_saleshouse,,,5,DEFAULT,,"""meta"""
CM360,Jakala,ES,ESALL,,media_level_2,,,6,REGEXP_CONTAINS,"""cpc""","""native"""
Outbrain,Jakala,ES,ESALL,,media_level_2,,,5,DEFAULT,,"""native"""
Outbrain,Jakala,ES,ESALL,,media_level_1,,,9,DEFAULT,,"""online_display"""
CM360,Jakala,ES,ESALL,,media_level_1,,,10,DEFAULT,,"""online_display"""
BingAds,OMD,ES,ESAXA,,media_level_2,,,4,DEFAULT,,"""paid-search"""
GoogleAds,OMD,ES,ESAXA,,media_level_1,,,2,DEFAULT,,"""paid-search"""
GoogleAds,OMD,ES,ESAXA,,media_level_2,,,2,DEFAULT,,"""paid-search"""
BingAds,OMD,ES,ESAXA,,media_level_1,,,4,DEFAULT,,"""paid-search"""
FacebookAds,OMD,ES,ESAXA,,media_level_1,,,5,DEFAULT,,"""paid-social"""
Outbrain,Jakala,ES,ESALL,,stream,,,3,DEFAULT,,"""performance"""
CM360,Jakala,ES,ESALL,,stream,,,4,DEFAULT,,"""performance"""
CM360,Jakala,ES,ESALL,,media_level_2,,,7,REGEXP_CONTAINS,"""cpm""","""standard-format"""
Outbrain,Jakala,ES,ESALL,,campaign_platform,,,3,DEFAULT,,campaign_name
FacebookAds,OMD,ES,ESAXA,,campaign_platform,,,11,DEFAULT,,campaign_name
CM360,Jakala,ES,ESALL,,campaign_platform,,,4,DEFAULT,,campaign_name
CM360,OMD,ES,ESAXA,,campaign_platform,,,5,DEFAULT,,campaign_name
GoogleAds,OMD,ES,ESAXA,,campaign_platform,,,10,DEFAULT,,campaign_name
BingAds,OMD,ES,ESAXA,,campaign_platform,,,7,DEFAULT,,campaign_name
GoogleAds,OMD,ES,ESAXA,advertiser,entity,,,11,CALCULATION,"= ""AXA Vida""","""axa-es-aurora"""
GoogleAds,OMD,ES,ESAXA,campaign_name,product,,,32,REGEXP_CONTAINS,"""auto_""","""auto"""
FacebookAds,OMD,ES,ESAXA,campaign_name,product,,,62,REGEXP_CONTAINS,"""auto_""","""auto"""
BingAds,OMD,ES,ESAXA,campaign_name,product,,,52,REGEXP_CONTAINS,"""auto_""","""auto"""
FacebookAds,OMD,ES,ESAXA,campaign_name,campaign_objective,,,2,REGEXP_EXTRACT,,"""awareness"""
BingAds,OMD,ES,ESAXA,campaign_name,product,,,58,REGEXP_CONTAINS,"""bici""","""bike"""
FacebookAds,OMD,ES,ESAXA,campaign_name,product,,,68,REGEXP_CONTAINS,"""bici""","""bike"""
GoogleAds,OMD,ES,ESAXA,campaign_name,product,,,38,REGEXP_CONTAINS,"""bici""","""bike"""
GoogleAds,OMD,ES,ESAXA,campaign_name,brand_non_brand,,,4,REGEXP_CONTAINS,"""_BRA_""","""brand"""
BingAds,OMD,ES,ESAXA,campaign_name,brand_non_brand,,,10,REGEXP_CONTAINS,"""_BRA_""","""brand"""
FacebookAds,OMD,ES,ESAXA,campaign_name,product,,,70,REGEXP_EXTRACT,,"""dental"""
GoogleAds,OMD,ES,ESAXA,campaign_name,product,,,40,REGEXP_EXTRACT,,"""dental"""
BingAds,OMD,ES,ESAXA,campaign_name,product,,,60,REGEXP_EXTRACT,,"""dental"""
GoogleAds,OMD,ES,ESAXA,campaign_name,product,,,39,REGEXP_CONTAINS,"""pesca""","""fishing"""
BingAds,OMD,ES,ESAXA,campaign_name,product,,,59,REGEXP_CONTAINS,"""pesca""","""fishing"""
FacebookAds,OMD,ES,ESAXA,campaign_name,product,,,69,REGEXP_CONTAINS,"""pesca""","""fishing"""
FacebookAds,OMD,ES,ESAXA,campaign_name,product,,,64,REGEXP_CONTAINS,"""salud""","""health"""
GoogleAds,OMD,ES,ESAXA,campaign_name,product,,,34,REGEXP_CONTAINS,"""salud""","""health"""
BingAds,OMD,ES,ESAXA,campaign_name,product,,,54,REGEXP_CONTAINS,"""salud""","""health"""
BingAds,OMD,ES,ESAXA,campaign_name,product,,,56,REGEXP_CONTAINS,"""hogar""","""home"""
GoogleAds,OMD,ES,ESAXA,campaign_name,product,,,36,REGEXP_CONTAINS,"""hogar""","""home"""
FacebookAds,OMD,ES,ESAXA,campaign_name,product,,,66,REGEXP_CONTAINS,"""hogar""","""home"""
GoogleAds,OMD,ES,ESAXA,campaign_name,product,,,37,REGEXP_CONTAINS,"""caza""","""hunting"""
FacebookAds,OMD,ES,ESAXA,campaign_name,product,,,67,REGEXP_CONTAINS,"""caza""","""hunting"""
BingAds,OMD,ES,ESAXA,campaign_name,product,,,57,REGEXP_CONTAINS,"""caza""","""hunting"""
FacebookAds,OMD,ES,ESAXA,campaign_name,campaign_objective,,,3,REGEXP_CONTAINS,"""lead-generation""","""lead"""
GoogleAds,OMD,ES,ESAXA,campaign_name,product,,,33,REGEXP_CONTAINS,"""vida""","""life"""
BingAds,OMD,ES,ESAXA,campaign_name,product,,,53,REGEXP_CONTAINS,"""vida""","""life"""
FacebookAds,OMD,ES,ESAXA,campaign_name,product,,,63,REGEXP_CONTAINS,"""vida""","""life"""
BingAds,OMD,ES,ESAXA,campaign_name,product,,,55,REGEXP_CONTAINS,"""moto""","""motorbike"""
GoogleAds,OMD,ES,ESAXA,campaign_name,product,,,35,REGEXP_CONTAINS,"""moto""","""motorbike"""
FacebookAds,OMD,ES,ESAXA,campaign_name,product,,,65,REGEXP_CONTAINS,"""moto""","""motorbike"""
GoogleAds,OMD,ES,ESAXA,campaign_name,brand_non_brand,,,5,REGEXP_CONTAINS,"""_GNC_""","""non-brand"""
BingAds,OMD,ES,ESAXA,campaign_name,brand_non_brand,,,12,REGEXP_CONTAINS,"""_GEN_""","""non-brand"""
GoogleAds,OMD,ES,ESAXA,campaign_name,brand_non_brand,,,6,REGEXP_CONTAINS,"""_GEN_""","""non-brand"""
BingAds,OMD,ES,ESAXA,campaign_name,brand_non_brand,,,11,REGEXP_CONTAINS,"""_GNC_""","""non-brand"""
GoogleAds,OMD,ES,ESAXA,campaign_name,media_target,,,11,REGEXP_CONTAINS,"""_pros_""","""prospecting"""
BingAds,OMD,ES,ESAXA,campaign_name,media_target,,,1,REGEXP_CONTAINS,"""_pros_""","""prospecting"""
GoogleAds,OMD,ES,ESAXA,campaign_name,media_target,,,12,REGEXP_CONTAINS,"""prospecting""","""prospecting"""
BingAds,OMD,ES,ESAXA,campaign_name,media_target,,,2,REGEXP_CONTAINS,"""prospecting""","""prospecting"""
FacebookAds,OMD,ES,ESAXA,campaign_name,media_target,,,21,REGEXP_CONTAINS,"""_pros_""","""prospecting"""
FacebookAds,OMD,ES,ESAXA,campaign_name,media_target,,,22,REGEXP_CONTAINS,"""prospecting""","""prospecting"""
BingAds,OMD,ES,ESAXA,campaign_name,media_target,,,5,REGEXP_CONTAINS,"""rtg""","""retargeting"""
BingAds,OMD,ES,ESAXA,campaign_name,media_target,,,3,REGEXP_CONTAINS,"""_ret_""","""retargeting"""
GoogleAds,OMD,ES,ESAXA,campaign_name,media_target,,,13,REGEXP_CONTAINS,"""_ret_""","""retargeting"""
GoogleAds,OMD,ES,ESAXA,campaign_name,media_target,,,15,REGEXP_CONTAINS,"""rtg""","""retargeting"""
FacebookAds,OMD,ES,ESAXA,campaign_name,media_target,,,23,REGEXP_CONTAINS,"""_ret_""","""retargeting"""
BingAds,OMD,ES,ESAXA,campaign_name,media_target,,,4,REGEXP_CONTAINS,"""retargeting""","""retargeting"""
FacebookAds,OMD,ES,ESAXA,campaign_name,media_target,,,25,REGEXP_CONTAINS,"""rtg""","""retargeting"""
FacebookAds,OMD,ES,ESAXA,campaign_name,media_target,,,24,REGEXP_CONTAINS,"""retargeting""","""retargeting"""
