priorityOnline,priorityOffline,dataFieldName,outputType,description,example
MUST HAVE,SHOULD HAVE,data-source,string,Tool or channel from which the data are being collected,"dv360, xandr, popcorn, ooh, print"
MUST HAVE,MUST HAVE,advertiser,string,The advertiser used to deliver the ad within a specific media platform,"axa-fr, yuzzu_es_branding"
MUST HAVE,MUST HAVE,agency,string,Media agency which operates the advertising campaign,"wpp, omd, publicis, dentsu"
MUST HAVE,MUST HAVE,entity,dropdown-list,Shortened name of the AXA's legal entity conducting the media campaign based on the dropdownlist available in this file,"axa-sa, yuzzu-be, axa-tianping, axa-es-seguros"
MUST HAVE,MUST HAVE,funding-entity,dropdown-list,The entity financing the media campaign based on the dropdownlist available in this file,"axa-sa, yuzzu-be, axa-tianping, axa-es-seguros"
MUST HAVE,MUST HAVE,data-currency,dropdown-list,Currency of the financial resources allocated for the media campaign (based on ISO Code 4217),"eur, usd, gbp"
MUST HAVE,MUST HAVE,language,dropdown-list,Language used in the media material to communicate with the target audience (ISO Code 639-2),"fr, en, de"
MUST HAVE,MUST HAVE,country,dropdown-list,"The country field defines the country in which the media campaign is being displayed. The format is a two letters code (ISO 3166 – Alpha 2).

For local specificities such as Northern Ireland, the ISO code ""xi"" must be used. Additionally, when global campaigns are displayed on several not-identified countries, the ISO code used must be ""zz""","fr, gb, it, zz"
MUST HAVE,MUST HAVE,stream,dropdown-list,"Define if which of these two objectives are related to the campaign :
- [brand] - Campaign aiming at generating reach, awareness, video views,…
- [perf] - Campaign aiming at generating leads, conversions,…","brand, perf"
MUST HAVE,MUST HAVE,campaign-name,string,Name assigned to identify and differentiate individual media campaigns ,"self-employed, women, recruitment, tax-campaign-2023"
SHOULD HAVE,SHOULD HAVE,campaign-objective,dropdown-list,The primary goal or purpose the media campaign is designed to achieve,"conversion, awareness"
MUST HAVE,MUST HAVE,business-classification-1,dropdown-list,"This item defines the communication territory of the campaign. For example, the campaign is about a health thematic. Please refer to the business classification tab","health, pc-personnal-lines, life-savings"
MUST HAVE,MUST HAVE,business-classification-2,dropdown-list,"This item refines the way to define the communication territory of the campaign in a more granular way. For example, the campaign is about a health thematic and promotes a personnal-health topic. Please refer to the business classification tab.","personal-health, motor, property, lialability"
SHOULD HAVE,SHOULD HAVE,product,string,"The specific product, line of product or service being advertised in the media campaign","auto, health, home, lifeready"
MUST HAVE,MUST HAVE,media-level-1,dropdown-list,"(New) First level of media types defined in the harmonized ""media categorization"". For example the level 1 of this media categorization is TV and includes advertisements on traditional and addressable TV, as well as on connected TV sets that stream digital content, available nationally and locally.","tv, audio, print, paid-social"
MUST HAVE,MUST HAVE,media-level-2,dropdown-list,"(New) Second level of media types defined in the harmonized ""media categorization"". For example, the level 1 of the ""media categorization is TV and the second level is broadcast-tv that includes the commercials aired during scheduled breaks in television programming.","broadcast-tv, magazine, cinema, dooh"
SHOULD HAVE,SHOULD HAVE,mediapartner-saleshouse,string,"Organization responsible for selling media owners' inventory across various media platforms on behalf of media owners, helping advertisers reach their target audiences effectively","dv360, meta, jcdecaux"
SHOULD HAVE,SHOULD HAVE,platform-or-publisher,string,The media owner or platform that publishes or broadcasts the campaign content to the target audience,"youtube, instagram, facebook, jcdecaux"
NICE TO HAVE,NICE TO HAVE,buying-mode,dropdown-list,"The method or strategy used to purchase media space or time. Available options are:
- [booked] - Direct buying  - purchasing ad space or media placements directly from a publisher (e.g., website, TV channel, radio station) without the use of automated platforms
- [programmatic] - Programmatic Buying - Automated purchase of digital advertising through software and data-driven platforms (e.g., ad exchanges, DSPs)
- [free] - not charged - Media offered for free by the publisher, without any additional charges","booked, programmatic"
NICE TO HAVE,NICE TO HAVE,buying-type,dropdown-list,"Determine the cost model associated with running advertisements or media activities
- [cpc] - Cost Per click - Advertisers are charged based on the cost incurred each time a user clicks on an advertisement
- [cpa] - Cost Per Action - Performance-based buying type where advertisers pay when a specific action or conversion is completed
- [cpv] - Cost Per View - Advertisers pay based on the number of views their video ad receives
- [cpm] - Cost Per Thousand impressions - Advertisers pay based for one thousand views or impressions of an advertisement
- [grp] - Cost per Gross Rating Point - Advertisers pay a fixed price for each GRP generated by the ad
- [other] - other pricing combination - As an example, mix pricing with CPA + CPC","cpc, cpa, cpv, cpm, grp, other"
SHOULD HAVE,SHOULD HAVE,start-date,string,"Start date of the campaign (except for Press campaigns). Format to be respected is DD/MM/YYYY - e.g., 10/10/2024",10/10/2024
SHOULD HAVE,SHOULD HAVE,end-date,string,"End date of the campaign (except for Press campaigns). Format to be respected is DD/MM/YYYY - e.g., 10/10/2024",10/10/2024
SHOULD HAVE,SHOULD HAVE,date,string,"Date of diffusion or publication (only date to use for Press campaigns). Format to be respected is DD/MM/YYYY - e.g., 10/10/2024",10/10/2024
MUST HAVE,MUST HAVE,week,string,"Week number of the diffusion or publication of the ad. To be calculated in French standards (week starting on Monday), with the possibility to make a prorata when the publication period spans over two weeks (eg in FR, Cinema is bought from Wednesday to Tuesday and DOOH from Tuesday to Monday). Week 53 should be changed for week 1 in order to have weeks of equivalent size",45
,NICE TO HAVE,targeting-type,dropdown-list,Specific method or strategy used to identify and reach a desired audience segment,"sociodemo, broad, specific, interest"
,NICE TO HAVE,procurement-centralization,dropdown-list,"Financial consolidation related to the media investment
Available options are :
- [inter] - consolidation at International level
- [national] - consolidation at national level
- [pan] - consolidation at European level
- [local] - consolidation at local level (when different from national level)
- [regional] - consolidation at regional level","inter, national, pan, local, regional"
,NICE TO HAVE,media-target,string,"A media target refers to the specific group of people that the media campaign or advertisement is designed to reach (e.g., demographic, behavioral characteristics). It's a strategically defined subset of the population","women-18-25, men-45-54"
