forex,value,date
EUR/EUR,1.0,2025-06-20
EUR/USD,1.1515,2025-06-20
EUR/JPY,167.67,2025-06-20
EUR/BGN,1.9558,2025-06-20
EUR/CZK,24.83,2025-06-20
EUR/DKK,7.4597,2025-06-20
EUR/GBP,0.8537,2025-06-20
EUR/HUF,402.6,2025-06-20
EUR/PLN,4.2656,2025-06-20
EUR/RON,5.0303,2025-06-20
EUR/SEK,11.125,2025-06-20
EUR/CHF,0.9415,2025-06-20
EUR/ISK,143.0,2025-06-20
EUR/NOK,11.598,2025-06-20
EUR/TRY,45.6904,2025-06-20
EUR/AUD,1.7754,2025-06-20
EUR/BRL,6.3145,2025-06-20
EUR/CAD,1.5793,2025-06-20
EUR/CNY,8.2643,2025-06-20
EUR/HKD,9.0391,2025-06-20
EUR/IDR,18889.21,2025-06-20
EUR/ILS,4.0025,2025-06-20
EUR/INR,99.7375,2025-06-20
EUR/KRW,1573.8,2025-06-20
EUR/MXN,21.924,2025-06-20
EUR/MYR,4.8968,2025-06-20
EUR/NZD,1.9229,2025-06-20
EUR/PHP,65.831,2025-06-20
EUR/SGD,1.4797,2025-06-20
EUR/THB,37.758,2025-06-20
EUR/ZAR,20.715,2025-06-20
